"place","number","","","","","",""
"C.C. Spaulding Elementary","96.3","","","","","",""
"Eastway Elementary","98.2","","","","","",""
"E.K. Powe Elementary","65.1","","","","","",""
"Fayetteville Street Elementary","98.4","","","","","",""
"Forest View Elementary","68.5","","","","","",""
"Lakewood Elementary","90.7","","","","","",""
"Parkwood Elementary","80.7","","","","","",""
"Southwest Elementary","77.2","","","","","",""
"Hillside High","98.1","","","","","",""
"Jordan High","69.5","","","","","",""
"Club Boulevard Elementary","64.9","","","","","",""
"Hillandale Elementary","44.9","","","","","",""
"Brogden Middle","86.8","","","","","",""
"Lakewood Montessori Middle","58.1","","","","","",""
"Lowes Grove Middle","95","","","","","",""
"Riverside High","73.9","","","","","",""
"Durham County","81","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
